product_id,post_title,price,z_score
4058,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,8.7,-0.8559658700559805
5764,Parcé Frères Collioure Rouge Petit Gus 2018,12.9,-0.7049362097643449
5477,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,19.8,-0.45681605357094346
4261,Chermette Domaine du Vissoux Beaujolais Griottes 2018,9.9,-0.8128145385440846
4791,Maurice Schoech Pinot Noir Pièce de Chêne 2016,13.6,-0.6797645997157389
5545,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Caillerets 1er Cru 2016,65.9,1.2009142653443905
5806,Château La Croix Meunier Saint-Emilion Grand Cru 2014,17.4,-0.5431187165947353
4753,Domaine de Montgilet Coteaux de l'Aubance 2017,12.0,-0.7372997083982668
4270,Domaine Sérol Côte Roannaise Les Millerands 2018,15.5,-0.6114416581552371
4690,Domaine Plageoles Vin de France Contre-Pied 2016,12.8,-0.7085321540570029
5488,Decelle-Villa Beaune Rouge 2015,43.5,0.3954227437890004
4176,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,13.5,-0.683360544008397
4909,Antoine-Marie Arena Vin de France Bianco Gentile 2018,25.9,-0.2374634517188061
4167,Ollieux Romanis Corbières Rouge Cuvée Prestige 2017,14.3,-0.654592989667133
4222,Xavier Frissant Touraine Amboise M de La Touche 2016,8.9,-0.8487739814706645
4573,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,1.2476615411489442
4611,Gilbert Picq Chablis Vosgros 1er Cru 2017,26.2,-0.2266756188408321
4682,Château Plaisance Fronton Rouge 2017,9.1,-0.8415820928853485
5819,Maison Trimbach Riesling Cuvée Frédéric Emile 2008,56.0,0.8449157803712493
5968,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,71.5,1.4022871457332378
4084,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",23.2,-0.33455394762057183
4675,Domaine Rotier Gaillac Blanc Sec Renaissance 2015,10.7,-0.7840469842028207
5010,Domaine des Comtes Lafon Monthélie 1er Cru Les Duresses 2017,55.6,0.8305320032006174
6573,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3,1.287216928368182
4566,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,-0.14396890010969826
4863,Château Ollieux Romanis Corbières Rosé Classique 2019,8.2,-0.8739455915192704
5395,Chili Errazuriz Cabernet Sauvignon 2016,12.7,-0.7121280983496608
5804,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0,-0.26982695035272797
4786,Maurice Schoech Gewurztraminer 2018,12.1,-0.7337037641056088
4165,Parés Baltà Penedès Indigena 2017,12.0,-0.7372997083982668
6664,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017,35.6,0.11134314466901914
4078,Domaine des Bosquets Gigondas La Colline 2015,44.0,0.4134024652522903
4200,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,5.8,-0.9602482545430622
4647,Bernard Baudry Chinon Rouge La Croix Boissée 2017,28.5,-0.14396890010969826
4734,Camin Larredya Jurançon Moelleux Costat Darrer 2018,15.3,-0.618633546740553
4755,Domaine de Montgilet Vin de France Grolleau 2019,7.4,-0.9027131458605344
4860,Philippe Nusswitz Duché d'Uzès Orénia Rosé 2019,8.7,-0.8559658700559805
4920,Alain Graillot Crozes-Hermitage Blanc 2018,24.4,-0.29140261610867596
4928,Domaine La Croix Belle Côtes de Thongue Rouge Le Champ du Coq 2016,7.9,-0.8847334243972445
5950,Domaine de Vaccelli AOP Ajaccio Rouge Granit 2016,46.0,0.48532135110545016
4672,Domaine Pellé Menetou Salon Rouge Morogues 2017,17.8,-0.5287349394241033
4060,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,11.9,-0.7408956526909248
4275,I Fabbri Chianti Classico Lamole 2017,14.9,-0.633017323911185
4558,Domaine de Montcalmès Terrasses du Larzac Rouge 2017,28.1,-0.15835267728033017
4739,Jean-Paul Brun Beaujolais Le Ronsay 2016,7.4,-0.9027131458605344
4196,Château de La Liquière Faugères Tucade 2015,27.2,-0.1907161759142522
4248,Domaine Saint-Denis Mâcon Chardonnay 2017,14.8,-0.636613268203843
4245,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,8.9,-0.8487739814706645
4674,Domaine Pellé Sancerre Blanc La Croix Au Garde 2018,19.0,-0.4855836079122074
5522,Domaine Chambeyron Côte Rôtie L'Angéline 2017,48.4,0.5716240141292419
5547,Thierry Germain Saumur-Champigny Terres Chaudes 2017,24.6,-0.28421072752335985
